"Usage type","APS1-RDS:PIOPS($)","APS1-RDS:PIOPS-Storage($)","APS1-InstanceUsage:db.t3.micro($)","APS2-RDS:GP2-Storage($)","APS2-RDS:ChargedBackupUsage($)","APS1-RDS:GP2-Storage($)","APS2-InstanceUsage:db.t3.micro($)","APS1-Aurora:BackupUsage($)","APS1-DataTransfer-Out-Bytes($)","APS2-DataTransfer-Out-Bytes($)","APS1-DataTransfer-In-Bytes($)","APS2-DataTransfer-In-Bytes($)","Total costs($)"
"Usage type total","249.9177083145","41.8044166848","16.547931286","4.5976786998","1.7762732854","0.9244509184","0.078485512","0.00999216","0.0000295718","0.0000034294","0","0","315.6569698621"
"2023-06-01","","","0.44084443","","0.062315918","0.0649962958","","0.000333072","0","","0","","0.5684897158"
"2023-06-02","","","0.218335","","0.062315918","0.0919989344","","0.000333072","0","","0","","0.3729829244"
"2023-06-03","","","","","0.062315918","0.0919999992","","0.000333072","","","","","0.1546489892"
"2023-06-04","","","","","0.062315918","0.0919999992","","0.000333072","","","","","0.1546489892"
"2023-06-05","","","0.476085482","","0.062315918","0.067623194","","0.000333072","0","","0","","0.606357666"
"2023-06-06","","","1.23261104","","0.062315918","0.1747254616","","0.000333072","0","","0","","1.4699854916"
"2023-06-07","","","1.296","","0.062315918","0.1839999984","","0.000333072","0","","0","","1.5426489884"
"2023-06-08","7.1260648141","1.1919962968","0.612464314","","0.062315918","0.1303226841","","0.000333072","0","","0","","9.123497099"
"2023-06-09","12.2330439802","2.0462546305","0.492630476","0.6038671292","","0.0267843517","0.073266648","0.000333072","0","0.0000034294","0","0","15.476183717"
"2023-06-10","10.9999999992","1.8400000008","","0.9199999992","","","","0.000333072","","","","","13.7603330712"
"2023-06-11","10.9999999992","1.8400000008","","0.9199999992","","","","0.000333072","","","","","13.7603330712"
"2023-06-12","10.5585995362","1.7661657415","0.546960544","0.9199999992","","","","0.000333072","0","","0","","13.7920588929"
"2023-06-13","10.9999999992","1.8400000008","0.624","0.9199999992","","","","0.000333072","0","","0","","14.3843330712"
"2023-06-14","10.9999999992","1.8400000008","0.624","0.3138115738","","","0.005218864","0.000333072","0","","0","","13.7833635098"
"2023-06-15","10.9999999992","1.8400000008","0.624","","0.0800640564","","","0.000333072","0","","0","","13.5443971284"
"2023-06-16","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0","","0","","13.544178531"
"2023-06-17","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0","","0","","13.544178531"
"2023-06-18","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0","","0","","13.544178531"
"2023-06-19","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0","","0","","13.544178531"
"2023-06-20","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0","","0","","13.544178531"
"2023-06-21","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027856","","0","","13.5441813166"
"2023-06-22","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027856","","0","","13.5441813166"
"2023-06-23","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027856","","0","","13.5441813166"
"2023-06-24","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027856","","0","","13.5441813166"
"2023-06-25","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027771","","0","","13.5441813081"
"2023-06-26","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027601","","0","","13.5441812911"
"2023-06-27","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000044589","","0","","13.5441829899"
"2023-06-28","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000028706","","0","","13.5441814016"
"2023-06-29","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027771","","0","","13.5441813081"
"2023-06-30","10.9999999992","1.8400000008","0.624","","0.079845459","","","0.000333072","0.0000027856","","0","","13.5441813166"
